"","x"
"1195","Pdpn"
"1196","Pdzk1ip1"
"1197","Pef1"
"1198","Per2"
"1199","Pex11g"
"1200","Pex16"
"1201","Pex19"
"1202","Pfdn5"
"1203","Pfn1"
"1204","Pgap3"
"1205","Pgd"
"1206","Pgghg"
"1207","Pgls"
"1208","Phb"
"1209","Phb2"
"1210","Phc2"
"1211","Phpt1"
"1212","Piezo1"
"1213","Pigs"
"1214","Pigt"
"1215","Pigu"
"1216","Pih1d1"
"1217","Pim3"
"1218","Pin1"
"1219","Pink1"
"1220","Pip5k1c"
"1221","Pithd1"
"1222","Pitx1"
"1223","Pkd1"
"1224","Pkdcc"
"1225","Pkig"
"1226","Pkn1"
"1227","Pla2g12a"
"1228","Pla2g2f"
"1229","Pla2g4b"
"1230","Pla2g4d"
"1231","Pla2g6"
"1232","Plac9b"
"1233","Plat"
"1234","Plau"
"1235","Plaur"
"1236","Plbd2"
"1237","Plcd1"
"1238","Pld3"
"1239","Pld4"
"1240","Plekhf1"
"1241","Plekhg4"
"1242","Plekhh3"
"1243","Plekhj1"
"1244","Plekhm2"
"1245","Plekho1"
"1246","Plekho2"
"1247","Plet1"
"1248","Plin3"
"1249","Plod1"
"1250","Plod2"
"1251","Plod3"
"1252","Plpp2"
"1253","Plscr3"
"1254","Plvap"
"1255","Pmaip1"
"1256","Pmepa1"
"1257","Pmf1"
"1258","Poc1a"
"1259","Podxl2"
"1260","Pofut2"
"1261","Pold1"
"1262","Pold4"
"1263","Poldip2"
"1264","Poldip3"
"1265","Polr1c"
"1266","Polr2c"
"1267","Polr2e"
"1268","Polr3h"
"1269","Pomgnt1"
"1270","Por"
"1271","Porcn"
"1272","Postn"
"1273","Pou3f1"
"1274","Ppa1"
"1275","Ppic"
"1276","Ppp1r12c"
"1277","Ppp1r13l"
"1278","Ppp1r16a"
"1279","Ppp1r18"
"1280","Ppp1r37"
"1281","Ppp2r1a"
"1282","Ppp2r5b"
"1283","Ppp4r1"
"1284","Ppp6r1"
"1285","Pprc1"
"1286","Ppt2"
"1287","Pqlc1"
"1288","Pqlc2"
"1289","Prdx5"
"1290","Prelid1"
"1291","Prkcsh"
"1292","Prmt7"
"1293","Prnd"
"1294","Procr"
"1295","Prrc1"
"1296","Prrg2"
"1297","Prrx2"
"1298","Prss12"
"1299","Prss22"
"1300","Prss27"
"1301","Prss35"
"1302","Prss8"
"1303","Psap"
"1304","Psapl1"
"1305","Psenen"
"1306","Pskh1"
"1307","Psma7"
"1308","Psmb10"
"1309","Psmb8"
"1310","Psmd8"
"1311","Psmd9"
"1312","Psme2"
"1313","Pstpip1"
"1314","Ptbp1"
"1315","Ptges"
"1316","Ptgfrn"
"1317","Ptgis"
"1318","Ptgr1"
"1319","Ptgs2"
"1320","Pth1r"
"1321","Ptk7"
"1322","Ptp4a3"
"1323","Ptpn1"
"1324","Ptpn12"
"1325","Ptpre"
"1326","Ptprs"
"1327","Ptx3"
"1328","Puf60"
"1329","Pusl1"
"1330","Pvr"
"1331","Pxdc1"
"1332","Pxdn"
"1333","Pycr2"
"1334","Pycrl"
"1335","Pygo2"
"1336","Qsox1"
"1337","Qtrt1"
"1338","R3hdm4"
"1339","Rab11fip5"
"1340","Rab31"
"1341","Rab34"
"1342","Rab3d"
"1343","Rab3il1"
"1344","Rab40c"
"1345","Rab44"
"1346","Rabac1"
"1347","Rac3"
"1348","Rack1"
"1349","Ramp2"
"1350","Rap2b"
"1351","Rapgef1"
"1352","Rarg"
"1353","Rasip1"
"1354","Rbfa"
"1355","Rbm14"
"1356","Rbp1"
"1357","Rbp2"
"1358","Rcan1"
